Time,Proc,Avg
25,2,25
30,3,30
30,4,34
33,5,42
42,6,45
38,7,45
45,8,60
25,2,
33,3,
34,4,
69,5,
39,6,
41,7,
150,8,
25,2,
31,3,
34,4,
32,5,
42,6,
93,7,
50,8,
26,2,
26,3,
35,4,
31,5,
41,6,
38,7,
49,8,
26,2,
30,3,
31,4,
93,5,
102,6,
40,7,
46,8,
25,2,
26,3,
34,4,
32,5,
39,6,
41,7,
49,8,
25,2,
30,3,
35,4,
36,5,
41,6,
44,7,
70,8,
26,2,
31,3,
34,4,
31,5,
40,6,
40,7,
47,8,
25,2,
30,3,
34,4,
31,5,
42,6,
42,7,
46,8,
26,2,
27,3,
34,4,
32,5,
37,6,
40,7,
50,8,
